dt_Mes,nom_Regional,nom_Cluster,nom_Cidade,nom_Contrato,cod_Centro,cod_MaterialSap,vlr_Volume,nom_MaterialSap,tp_Demanda
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0087-0056-7,20,MISC - LNB - PROGRAM�VEL,Altas
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0087-0056-7,4,MISC - LNB - PROGRAM�VEL,ME
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0155-0089-2,8,MISC - CABO - RJ45,Altas
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0155-0089-2,7,MISC - CABO - RJ45,Servi�o
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0155-0089-2,3,MISC - CABO - RJ45,TTs
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0258-0250-5,105,MISC - CONECTOR - RG6,Altas
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0258-0250-5,20,MISC - CONECTOR - RG6,ME
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0258-0250-5,235,MISC - CONECTOR - RG6,TTs
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0199-0,1,STB - DTH - PVR/H�BRIDO,TTs
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0200-1,1,MISC - TRIPLEXER - HPNA,ME
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0200-1,3,MISC - TRIPLEXER - HPNA,TTs
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0201-2,1,MISC - DIPLEXER - HPNA,ME
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0201-2,2,MISC - DIPLEXER - HPNA,TTs
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0202-3,22,MISC - DIPLEXER - DTT,Altas
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0202-3,3,MISC - DIPLEXER - DTT,ME
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0202-3,5,MISC - DIPLEXER - DTT,TTs
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0204-5,4,MISC - LNB - 4 - LO,TTs
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0205-6,26,MISC - ANTENA - DTT/UHF,Altas
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0205-6,5,MISC - ANTENA - DTT/UHF,ME
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0207-8,20,MISC - ANTENA - 75CM,Altas
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0207-8,4,MISC - ANTENA - 75CM,ME
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0208-9,4,MISC - ANTENA - 90CM,TTs
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0209-0,7,MISC - EMENDA - FEMEA,Altas
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0209-0,1,MISC - EMENDA - FEMEA,ME
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0214-5,16,MISC - SPLITTER - DTH 1:2,Altas
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0214-5,5,MISC - SPLITTER - DTH 1:2,ME
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0214-5,25,MISC - SPLITTER - DTH 1:2,Servi�o
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0214-5,3,MISC - SPLITTER - DTH 1:2,TTs
01/08/2018,REGIONAL CENTRO-OESTE,ANAPOLIS,ANAPOLIS,TFN_ANS,S006,0387-0223-4,735,MISC - CABO - COAXIAL RG6,Altas
